G1	G2	G3	G4	Name
A	0	0	0	農業，林業
A	1	0	0	農業
A	1	10	0	管理，補助的経済活動を行う事業所（01農業）
A	1	10	100	主として管理事務を行う本社等
A	1	10	109	その他の管理，補助的経済活動を行う事業所
A	1	11	0	耕種農業
A	1	11	111	米作農業
A	1	11	112	米作以外の穀作農業
A	1	11	113	野菜作農業（きのこ類の栽培を含む）
A	1	11	114	果樹作農業
A	1	11	115	花き作農業
A	1	11	116	工芸農作物農業
A	1	11	117	ばれいしょ・かんしょ作農業
A	1	11	119	その他の耕種農業
A	1	12	0	畜産農業
A	1	12	121	酪農業
A	1	12	122	肉用牛生産業
A	1	12	123	養豚業
A	1	12	124	養鶏業
A	1	12	125	畜産類似業
A	1	12	126	養蚕農業
A	1	12	129	その他の畜産農業
A	1	13	0	農業サービス業（園芸サービス業を除く）
A	1	13	131	穀作サービス業
A	1	13	132	野菜作・果樹作サービス業
A	1	13	133	穀作，野菜作・果樹作以外の耕種サービス業
A	1	13	134	畜産サービス業（獣医業を除く）
A	1	14	0	園芸サービス業
A	1	14	141	園芸サービス業
A	2	0	0	林業
A	2	20	0	管理，補助的経済活動を行う事業所（02林業）
A	2	20	200	主として管理事務を行う本社等
A	2	20	209	その他の管理，補助的経済活動を行う事業所
A	2	21	0	育林業
A	2	21	211	育林業
A	2	22	0	素材生産業
A	2	22	221	素材生産業
A	2	23	0	特用林産物生産業（きのこ類の栽培を除く）
A	2	23	231	製薪炭業
A	2	23	239	その他の特用林産物生産業（きのこ類の栽培を除く）
A	2	24	0	林業サービス業
A	2	24	241	育林サービス業
A	2	24	242	素材生産サービス業
A	2	24	243	山林種苗生産サービス業
A	2	24	249	その他の林業サービス業
A	2	29	0	その他の林業
A	2	29	299	その他の林業
B	0	0	0	漁業
B	3	0	0	漁業（水産養殖業を除く）
B	3	30	0	管理，補助的経済活動を行う事業所（03漁業）
B	3	30	300	主として管理事務を行う本社等
B	3	30	309	その他の管理，補助的経済活動を行う事業所
B	3	31	0	海面漁業
B	3	31	311	底びき網漁業
B	3	31	312	まき網漁業
B	3	31	313	刺網漁業
B	3	31	314	釣・はえ縄漁業
B	3	31	315	定置網漁業
B	3	31	316	地びき網・船びき網漁業
B	3	31	317	採貝・採藻業
B	3	31	318	捕鯨業
B	3	31	319	その他の海面漁業
B	3	32	0	内水面漁業
B	3	32	321	内水面漁業
B	4	0	0	水産養殖業
B	4	40	0	管理，補助的経済活動を行う事業所（04水産養殖業）
